dataset,alpha,fedavg_mean,fedavg_std,fedfisher_diag_mean,fedfisher_diag_std,delta,relative_gain_pct,seed_wins,n
FashionMNIST,0.2,59.7000,4.2899,62.3080,2.2522,2.6080,4.3685,4,5
FashionMNIST,0.1,42.7400,5.5094,56.2260,2.0932,13.4860,31.5536,5,5
FashionMNIST,0.05,37.3700,2.1080,45.8740,5.0563,8.5040,22.7562,5,5
SVHN,0.2,62.7505,3.3525,66.9545,3.9953,4.2041,6.6996,5,5
SVHN,0.1,39.0189,4.1974,58.7239,6.1253,19.7050,50.5011,5,5
SVHN,0.05,27.2580,0.5294,48.2806,2.3865,21.0226,77.1245,5,5
CIFAR10,0.2,41.6100,1.6906,44.2020,2.4421,2.5920,6.2293,5,5
CIFAR10,0.1,36.8120,2.1380,37.9720,2.4930,1.1600,3.1511,4,5
CIFAR10,0.05,29.8880,1.7102,33.0420,3.0943,3.1540,10.5527,5,5
CINIC10,0.2,36.3976,0.8532,38.0796,1.6586,1.6820,4.6212,5,5
CINIC10,0.1,33.1222,2.0184,35.3827,1.7925,2.2604,6.8246,4,5
CINIC10,0.05,27.8136,1.0465,30.6762,1.5456,2.8627,10.2923,5,5
