alg,model,split,method,n,topk_hits_mean,topk_precision_mean,mean_signal_rank_mean,mean_noise_rank_mean,auroc_mean
fedavg,SyntheticMLP,iid,ablation_permute_loss,1000,10.0,1.0,5.5,55.5,1.0
fedavg,SyntheticMLP,iid,fisher_weighted,1000,5.703,0.5703,13.8712,54.56986666666667,0.9069866666666667
fedavg,SyntheticMLP,iid,global_fisher_weighted,1000,5.158,0.5158,16.1111,54.32098888888889,0.8820988888888889
fedavg,SyntheticMLP,iid,weight_norm,1000,4.774,0.4774,17.7013,54.1443,0.8644294444444445
fedavg,SyntheticMLP,noniid,ablation_permute_loss,1000,9.669,0.9669,7.7245,55.252833333333335,0.9752833333333333
fedavg,SyntheticMLP,noniid,fisher_weighted,1000,2.41,0.241,35.3462,52.18375555555556,0.6683755555555556
fedavg,SyntheticMLP,noniid,global_fisher_weighted,1000,3.217,0.3217,29.585,52.82388888888889,0.7323888888888889
fedavg,SyntheticMLP,noniid,weight_norm,1000,1.99,0.199,38.6438,51.81735555555556,0.6317355555555556
fedavg,SyntheticMLPDeep,iid,ablation_permute_loss,1000,10.0,1.0,5.5,55.5,1.0
fedavg,SyntheticMLPDeep,iid,fisher_weighted,1000,2.481,0.24810000000000001,33.2179,52.420233333333336,0.6920233333333333
fedavg,SyntheticMLPDeep,iid,global_fisher_weighted,1000,1.985,0.1985,37.8297,51.90781111111111,0.6407811111111111
fedavg,SyntheticMLPDeep,iid,weight_norm,1000,2.62,0.262,31.7711,52.58098888888889,0.7080988888888888
fedavg,SyntheticMLPDeep,noniid,ablation_permute_loss,1000,9.587,0.9587,8.5502,55.16108888888889,0.9661088888888889
fedavg,SyntheticMLPDeep,noniid,fisher_weighted,1000,1.495,0.1495,43.1922,51.31197777777778,0.5811977777777778
fedavg,SyntheticMLPDeep,noniid,global_fisher_weighted,1000,2.774,0.2774,31.2624,52.63751111111111,0.7137511111111111
fedavg,SyntheticMLPDeep,noniid,weight_norm,1000,1.406,0.1406,44.5019,51.16645555555556,0.566645
fedfisher_diag,SyntheticMLP,iid,ablation_permute_loss,1000,10.0,1.0,5.5,55.5,1.0
fedfisher_diag,SyntheticMLP,iid,fisher_weighted,1000,5.4,0.54,15.0492,54.43897777777778,0.8938977777777778
fedfisher_diag,SyntheticMLP,iid,global_fisher_weighted,1000,4.836,0.4836,17.6099,54.15445555555556,0.865445
