level,alpha,model,method,n,accuracy_mean_pct,accuracy_std_pct,gain_over_fedavg_mean_pct,gain_over_fedavg_std_pct,seed_wins,win_rate
IID,,SyntheticMLP,fedavg,1000,72.8169,0.4765,0.0000,0.0000,0,0.0000
IID,,SyntheticMLP,fedfisher_diag,1000,72.6528,0.4970,-0.1641,0.2393,232,0.2320
IID,,SyntheticMLP,fedfisher_kfac,1000,72.4785,0.7760,-0.3384,0.6440,324,0.3240
IID,,SyntheticMLPDeep,fedavg,1000,73.5846,0.4516,0.0000,0.0000,0,0.0000
IID,,SyntheticMLPDeep,fedfisher_diag,1000,73.2439,0.6479,-0.3407,0.4832,148,0.1480
IID,,SyntheticMLPDeep,fedfisher_kfac,1000,73.2041,0.6777,-0.3805,0.5407,210,0.2100
alpha=2,2.0000,SyntheticMLP,fedavg,964,72.3217,0.6613,0.0000,0.0000,0,0.0000
alpha=2,2.0000,SyntheticMLP,fedfisher_diag,964,72.4788,0.5444,0.1571,0.4477,581,0.6027
alpha=2,2.0000,SyntheticMLP,fedfisher_kfac,964,72.1269,0.7288,-0.1949,0.6188,428,0.4440
alpha=2,2.0000,SyntheticMLPDeep,fedavg,964,72.7404,1.0765,0.0000,0.0000,0,0.0000
alpha=2,2.0000,SyntheticMLPDeep,fedfisher_diag,964,72.8706,0.7260,0.1302,0.9315,461,0.4782
alpha=2,2.0000,SyntheticMLPDeep,fedfisher_kfac,964,72.9220,0.6912,0.1816,0.8905,523,0.5425
alpha=1,1.0000,SyntheticMLP,fedavg,963,71.7411,1.0143,0.0000,0.0000,0,0.0000
alpha=1,1.0000,SyntheticMLP,fedfisher_diag,963,72.2654,0.6034,0.5243,0.7317,748,0.7767
alpha=1,1.0000,SyntheticMLP,fedfisher_kfac,963,71.8749,0.7579,0.1338,0.8614,578,0.6002
alpha=1,1.0000,SyntheticMLPDeep,fedavg,963,71.9932,1.7334,0.0000,0.0000,0,0.0000
alpha=1,1.0000,SyntheticMLPDeep,fedfisher_diag,963,72.6197,0.7963,0.6265,1.5785,589,0.6116
alpha=1,1.0000,SyntheticMLPDeep,fedfisher_kfac,963,72.7551,0.7665,0.7619,1.5868,665,0.6906
alpha=0.5,0.5000,SyntheticMLP,fedavg,963,70.2666,2.0505,0.0000,0.0000,0,0.0000
alpha=0.5,0.5000,SyntheticMLP,fedfisher_diag,963,71.8317,0.8484,1.5651,1.6060,880,0.9138
alpha=0.5,0.5000,SyntheticMLP,fedfisher_kfac,963,71.4416,0.9656,1.1750,1.8013,765,0.7944
alpha=0.5,0.5000,SyntheticMLPDeep,fedavg,963,70.2526,3.3490,0.0000,0.0000,0,0.0000
alpha=0.5,0.5000,SyntheticMLPDeep,fedfisher_diag,963,72.0627,1.1050,1.8101,3.0306,734,0.7622
alpha=0.5,0.5000,SyntheticMLPDeep,fedfisher_kfac,963,72.4320,0.9442,2.1794,3.0316,816,0.8474
alpha=0.1,0.1000,SyntheticMLP,fedavg,1000,62.5765,5.3668,0.0000,0.0000,0,0.0000
alpha=0.1,0.1000,SyntheticMLP,fedfisher_diag,1000,67.5657,5.1747,4.9892,3.8856,945,0.9450
alpha=0.1,0.1000,SyntheticMLP,fedfisher_kfac,1000,68.4285,3.4750,5.8520,4.0044,983,0.9830
alpha=0.1,0.1000,SyntheticMLPDeep,fedavg,1000,60.0736,7.3333,0.0000,0.0000,0,0.0000
alpha=0.1,0.1000,SyntheticMLPDeep,fedfisher_diag,1000,66.2722,6.8199,6.1986,5.9281,864,0.8640
alpha=0.1,0.1000,SyntheticMLPDeep,fedfisher_kfac,1000,68.1139,5.3463,8.0403,6.2135,955,0.9550
alpha=0.02,0.0200,SyntheticMLP,fedavg,963,57.2563,4.8007,0.0000,0.0000,0,0.0000
alpha=0.02,0.0200,SyntheticMLP,fedfisher_diag,963,60.3288,6.2986,3.0725,3.9225,746,0.7747
alpha=0.02,0.0200,SyntheticMLP,fedfisher_kfac,963,62.7939,4.9576,5.5376,3.8516,939,0.9751
alpha=0.02,0.0200,SyntheticMLPDeep,fedavg,963,54.3426,5.8362,0.0000,0.0000,0,0.0000
alpha=0.02,0.0200,SyntheticMLPDeep,fedfisher_diag,963,57.5618,7.6201,3.2191,5.1460,652,0.6771
alpha=0.02,0.0200,SyntheticMLPDeep,fedfisher_kfac,963,59.7847,7.5092,5.4421,5.9044,824,0.8557
